"","species","lat","lon"
"128","Castilleja linariifolia",37.711,-117.8048
"129","Castilleja linariifolia",37.7791,-117.8425
"130","Castilleja linariifolia",44.1203,-118.95998
"131","Castilleja linariifolia",40.666013,-105.358678
"132","Castilleja linariifolia",40.675219,-105.347675
"133","Castilleja linariifolia",40.67721,-105.348486
"134","Castilleja linariifolia",41.166879,-105.383036
"135","Castilleja linariifolia",39.735241,-105.349946
"136","Castilleja linariifolia",35.183792,-109.94668
"137","Castilleja linariifolia",41.175,-105.247
"138","Castilleja linariifolia",40.450672,-105.354797
"139","Castilleja linariifolia",40.455362,-105.356833
"140","Castilleja linariifolia",41.176246,-105.244777
"141","Castilleja linariifolia",36.069533,-115.460646
"142","Castilleja linariifolia",41.204415,-105.351403
"143","Castilleja linariifolia",37.434048,-118.747947
"144","Castilleja linariifolia",41.179212,-105.358987
"145","Castilleja linariifolia",40.897072,-109.625452
"146","Castilleja linariifolia",40.703576,-105.297378
"147","Castilleja linariifolia",37.194458,-112.658122
"148","Castilleja linariifolia",37.199161,-112.659398
"149","Castilleja linariifolia",40.684159,-105.348612
"150","Castilleja linariifolia",38.157353,-109.752053
"151","Castilleja linariifolia",38.952775,-106.9744
"152","Castilleja linariifolia",38.952775,-106.9744
"153","Castilleja linariifolia",38.952775,-106.9744
"154","Castilleja linariifolia",38.953382,-106.974973
"155","Castilleja linariifolia",38.942924,-106.983471
"156","Castilleja linariifolia",38.89472,-106.89158
"157","Castilleja linariifolia",37.133089,-118.450437
"158","Castilleja linariifolia",39.178272,-106.800531
"159","Castilleja linariifolia",37.593038,-112.187089
"160","Castilleja linariifolia",38.299672,-111.303627
"161","Castilleja linariifolia",37.305702,-108.428253
"162","Castilleja linariifolia",37.472923,-112.242133
"163","Castilleja linariifolia",37.671046,-111.276542
"164","Castilleja linariifolia",37.623482,-112.159713
"165","Castilleja linariifolia",40.386555,-105.597572
"166","Castilleja linariifolia",40.36663,-105.610305
"167","Castilleja linariifolia",40.384445,-105.597892
"168","Castilleja linariifolia",38.949561,-117.316764
"169","Castilleja linariifolia",37.61803,-105.548845
"170","Castilleja linariifolia",40.386588,-105.597655
"171","Castilleja linariifolia",40.386667,-105.598288
"172","Castilleja linariifolia",40.38712,-105.605537
"173","Castilleja linariifolia",39.902118,-105.394804
"174","Castilleja linariifolia",37.142696,-118.318769
"175","Castilleja linariifolia",36.735512,-108.170783
"176","Castilleja linariifolia",39.193564,-107.0108
"177","Castilleja linariifolia",39.243317,-107.210578
"178","Castilleja linariifolia",35.168876,-111.509437
"179","Castilleja linariifolia",39.243387,-107.209403
"180","Castilleja linariifolia",39.211017,-106.958528
"181","Castilleja linariifolia",39.094345,-106.953592
"182","Castilleja linariifolia",39.213016,-106.937821
"183","Castilleja linariifolia",42.316874,-113.663232
"184","Castilleja linariifolia",35.788713,-106.344597
"185","Castilleja linariifolia",39.18253,-106.812312
"186","Castilleja linariifolia",41.175958,-105.358609
"187","Castilleja linariifolia",39.125919,-106.7409
"188","Castilleja linariifolia",37.528263,-111.992508
"189","Castilleja linariifolia",35.390444,-111.431711
"190","Castilleja linariifolia",37.42637,-109.965128
"191","Castilleja linariifolia",40.337532,-105.44598
"192","Castilleja linariifolia",38.546999,-119.816522
"193","Castilleja linariifolia",37.790867,-106.983483
"194","Castilleja linariifolia",40.416046,-105.669319
"195","Castilleja linariifolia",40.345194,-105.577689
"196","Castilleja linariifolia",40.352824,-105.641044
"197","Castilleja linariifolia",40.736058,-105.53351
"198","Castilleja linariifolia",38.281502,-111.242607
"199","Castilleja linariifolia",39.028426,-108.62787
"200","Castilleja linariifolia",40.349719,-105.616769
"201","Castilleja linariifolia",40.770458,-105.488706
"202","Castilleja linariifolia",40.377553,-105.608986
"203","Castilleja linariifolia",41.800633,-121.564995
"204","Castilleja linariifolia",38.6028,-109.526722
"205","Castilleja linariifolia",40.329437,-105.592645
"206","Castilleja linariifolia",40.763546,-105.538261
"207","Castilleja linariifolia",40.346639,-105.644464
"208","Castilleja linariifolia",40.698608,-105.525597
"209","Castilleja linariifolia",40.354122,-105.557692
"210","Castilleja linariifolia",37.200089,-112.978595
"211","Castilleja linariifolia",40.872592,-105.566494
"212","Castilleja linariifolia",40.372991,-105.614979
"213","Castilleja linariifolia",40.328112,-105.547905
"214","Castilleja linariifolia",37.200487,-112.97293
"215","Castilleja linariifolia",38.548014,-109.56146
"216","Castilleja linariifolia",40.32334,-105.626746
"217","Castilleja linariifolia",40.431324,-105.507575
"218","Castilleja linariifolia",40.765212,-105.544396
"219","Castilleja linariifolia",40.463222,-105.475388
"220","Castilleja linariifolia",37.251912,-112.877153
"221","Castilleja linariifolia",40.781922,-105.542411
"222","Castilleja linariifolia",40.682675,-105.34973
"223","Castilleja linariifolia",40.802481,-105.591663
"224","Castilleja linariifolia",37.308069,-108.420872
"225","Castilleja linariifolia",40.355223,-105.642081
"226","Castilleja linariifolia",37.46333,-113.196915
"227","Castilleja linariifolia",38.603853,-109.526987
"228","Castilleja linariifolia",40.359107,-105.700558
"229","Castilleja linariifolia",40.322047,-105.624869
"230","Castilleja linariifolia",40.78694,-105.480259
"231","Castilleja linariifolia",40.321987,-105.623388
"232","Castilleja linariifolia",45.10707,-109.225583
"233","Castilleja linariifolia",40.682612,-105.349659
"234","Castilleja linariifolia",40.348286,-105.672728
"235","Castilleja linariifolia",40.374702,-105.616707
"236","Castilleja linariifolia",37.272908,-112.9464
"237","Castilleja linariifolia",40.328569,-105.566736
"238","Castilleja linariifolia",40.979233,-105.12661
"239","Castilleja linariifolia",40.402088,-105.51255
"240","Castilleja linariifolia",37.63583,-112.1419
"241","Castilleja linariifolia",40.781743,-105.541627
"242","Castilleja linariifolia",40.350479,-105.619214
"243","Castilleja linariifolia",40.346428,-105.578592
"244","Castilleja linariifolia",40.335813,-105.614399
"245","Castilleja linariifolia",40.397128,-105.512474
"246","Castilleja linariifolia",40.342793,-105.683639
"247","Castilleja linariifolia",40.308472,-105.540262
"248","Castilleja linariifolia",40.662113,-105.547583
"249","Castilleja linariifolia",40.354456,-105.661539
"250","Castilleja linariifolia",40.373641,-105.692158
"251","Castilleja linariifolia",40.325233,-105.537195
"252","Castilleja linariifolia",40.352747,-105.639617
"253","Castilleja linariifolia",40.359435,-105.587012
"254","Castilleja linariifolia",40.354855,-105.468086
"255","Castilleja linariifolia",40.769291,-105.54624
"256","Castilleja linariifolia",40.342502,-105.605061
"257","Castilleja linariifolia",40.647372,-105.809706
"258","Castilleja linariifolia",40.44127,-105.316109
"259","Castilleja linariifolia",37.608307,-112.167023
"260","Castilleja linariifolia",40.308487,-105.540297
"261","Castilleja linariifolia",40.336351,-105.586353
"262","Castilleja linariifolia",40.015,-105.27055
"263","Castilleja linariifolia",40.05972,-105.61694
"264","Castilleja linariifolia",44.56444,-107.71527
"265","Castilleja linariifolia",36.20388,-115.22583
"266","Castilleja linariifolia",42.63777,-118.57833
"267","Castilleja linariifolia",40.37722,-105.52166
"268","Castilleja linariifolia",39.94861,-105.56333
"269","Castilleja linariifolia",35.27166,-115.27555
"270","Castilleja linariifolia",40.384137,-105.59738
"271","Castilleja linariifolia",38.27933,-111.254363
"272","Castilleja linariifolia",40.621247,-111.561438
"273","Castilleja linariifolia",40.335108,-105.464897
"274","Castilleja linariifolia",36.298273,-107.623374
"275","Castilleja linariifolia",37.05408,-112.71084
"276","Castilleja linariifolia",40.36517,-105.570342
"277","Castilleja linariifolia",40.231367,-105.497139
"278","Castilleja linariifolia",40.342525,-105.477988
"279","Castilleja linariifolia",40.56626,-105.213088
"280","Castilleja linariifolia",35.390581,-111.431647
"281","Castilleja linariifolia",37.054311,-112.713638
